gw,Benford FC,Cheasle FC,FPL 5: AutoPick Strikes Back,GAK-PO-TAY-TOES,Magpies United,Mattchester United,Morning Timber,Seanhampton,Thottenham Hotsluts,Walton Goggonzola
1,1,5,10,4,3,7,2,6,8,9
2,4,2,9,1,7,5,3,6,8,10
3,4,1,10,2,6,5,3,7,8,9
4,3,1,9,2,6,5,4,7,8,10
5,4,1,10,5,6,2,3,7,8,9
6,5,2,9,3,6,1,4,7,8,10
7,6,4,9,2,7,1,3,8,5,10
8,5,4,9,3,6,1,2,7,8,10
9,7,4,9,3,5,1,2,8,6,10
10,5,4,9,3,6,1,2,8,7,10
11,6,3,9,4,5,1,2,8,7,10
12,7,2,9,3,5,1,4,8,6,10
13,7,2,9,3,5,1,4,8,6,10
14,6,3,9,2,5,1,4,8,7,10
15,7,4,9,2,3,1,5,8,6,10
16,6,3,9,2,4,1,5,8,7,10
17,6,3,9,2,4,1,5,7,8,10
18,5,3,9,2,4,1,6,7,8,10
19,5,3,9,2,4,1,6,7,8,10
20,5,3,9,2,4,1,6,7,8,10
21,5,4,9,2,3,1,6,7,8,10
22,5,4,9,2,3,1,6,7,8,10
