W,D,L,Points,Win%,WW,FPtsF,FPtsA,Streak,team,rank,gw
1,0,0,3,1.0,6,171.0,168.5,1 (W),Magpies United,1,1
1,0,0,3,1.0,2,156.0,140.0,1 (W),RATABE,2,1
1,0,0,3,1.0,8,146.0,101.5,1 (W),HappyHaalandays,3,1
1,0,0,3,1.0,10,137.0,131.0,1 (W),TAAco Bell,4,1
1,0,0,3,1.0,5,128.5,81.0,1 (W),Benford FC,5,1
0,0,1,0,0.0,4,168.5,171.0,1 (L),Seanhampton,6,1
0,0,1,0,0.0,7,140.0,156.0,1 (L),Concept of a FPLan,7,1
0,0,1,0,0.0,9,131.0,137.0,1 (L),Cheasle FC,8,1
0,0,1,0,0.0,1,101.5,146.0,1 (L),New Zac on the Block,9,1
0,0,1,0,0.0,3,81.0,128.5,1 (L),Thottenham Hotsluts,10,1
2,0,0,6,1.0,2,345.5,293.5,2 (W),RATABE,1,2
2,0,0,6,1.0,6,294.5,235.0,2 (W),Magpies United,2,2
1,0,1,3,0.5,9,324.5,252.0,1 (W),Cheasle FC,3,2
1,0,1,3,0.5,7,310.5,322.5,1 (W),Concept of a FPLan,4,2
1,0,1,3,0.5,10,303.5,301.5,1 (L),TAAco Bell,5,2
1,0,1,3,0.5,1,282.0,298.5,1 (W),New Zac on the Block,6,2
1,0,1,3,0.5,8,261.0,295.0,1 (L),HappyHaalandays,7,2
1,0,1,3,0.5,5,195.0,204.5,1 (L),Benford FC,8,2
0,0,2,0,0.0,4,321.0,351.5,2 (L),Seanhampton,9,2
0,0,2,0,0.0,3,234.5,318.0,2 (L),Thottenham Hotsluts,10,2
3,0,0,9,1.0,2,466.5,405.0,3 (W),RATABE,1,3
2,0,1,6,0.667,9,474.5,394.0,2 (W),Cheasle FC,2,3
2,0,1,6,0.667,1,421.5,420.0,2 (W),New Zac on the Block,3,3
2,0,1,6,0.667,8,386.0,401.5,1 (W),HappyHaalandays,4,3
2,0,1,6,0.667,6,383.0,353.5,1 (L),Magpies United,5,3
1,0,2,3,0.333,7,417.0,447.5,1 (L),Concept of a FPLan,6,3
1,0,2,3,0.333,10,415.0,422.5,2 (L),TAAco Bell,7,3
1,0,2,3,0.333,3,353.0,406.5,1 (W),Thottenham Hotsluts,8,3
1,0,2,3,0.333,5,316.5,344.0,2 (L),Benford FC,9,3
0,0,3,0,0.0,4,463.0,501.5,3 (L),Seanhampton,10,3
3,0,1,9,0.75,2,623.0,575.0,1 (L),RATABE,1,4
3,0,1,9,0.75,1,579.0,525.0,3 (W),New Zac on the Block,2,4
3,0,1,9,0.75,6,553.0,510.0,1 (W),Magpies United,3,4
3,0,1,9,0.75,8,549.5,562.0,2 (W),HappyHaalandays,4,4
2,0,2,6,0.5,9,610.0,538.5,1 (L),Cheasle FC,5,4
2,0,2,6,0.5,5,461.0,479.5,1 (W),Benford FC,6,4
1,0,3,3,0.25,4,589.5,598.5,1 (W),Seanhampton,7,4
